COMMON,PIK3CA,PIK3CB,PIK3CD,PIK3CG,PTEN
SC_9059,1.65,1.65,-0.059,0.529,-1.25
SC_9060,0.8,0.866,0.025,0.415,-0.461
SC_9061,0.552,0.227,-0.679,-0.156,0.318
SC_9062,-0.007,1.054,0.236,0.014,-0.543
SC_9063,0.211,0.211,0.105,0.148,-1.484
SC_9065,0.003,0.003,0.025,0.006,-0.627
SC_9066,0.029,0.091,-0.285,0.332,-1.364
SC_9068,0.372,0.804,-0.156,0.404,-0.692
SC_9071,0.982,0.386,-0.013,0.58,-0.257
SC_9072,-0.42,-0.016,-0.419,0.022,-0.136
SC_9073,0.391,0.391,0.005,0.53,-0.794
SC_9076,-0.002,0.334,-0.354,0.314,-0.625
SC_9080,0.166,0.069,-0.003,0.13,-0.725
SC_9081,0.01,0.01,0,0.011,0.018
SC_9082,0.008,0.008,-0.004,0.007,-0.057
SC_9083,1.359,0.442,-0.036,0.008,-0.454
SC_9084,0.505,1.047,-0.025,1.053,-1.5
SC_9086,0.434,0.423,0.045,-0.019,-0.873
SC_9089,0.874,0.874,-0.042,0.013,-0.017
SC_9090,-0.085,-0.026,-0.13,0.661,-0.047
SC_9091,0.071,-0.091,-0.09,-0.026,-0.095
SC_9092,-0.704,4.293,-0.125,0.034,-1.482
SC_9093,0.152,0.712,-0.016,0.12,-0.457
SC_9094,-0.293,1.354,-0.271,1.139,-0.566
SC_9096,-0.012,0.389,0.433,0.36,-0.812
SC_9097,1.032,1.032,-0.098,0.172,-1.274
SC_9099,0.534,0.54,0.582,-0.046,-0.613
SC_9100,0.141,0.074,-0.059,0.15,-0.222
SC_9103,0.859,0.75,-0.056,1.5,0.003
SC_9104,-0.141,0.04,0.058,0.091,-0.418
SC_9107,-0.012,6,0.448,-0.461,-0.918
SC_9109,0.385,2.71,-0.318,0.031,-1.098
