COMMON,PIK3CA,PIK3CB,PIK3CD,PIK3CG,PTEN
SC_9073,2.782,2.782,2.01,3.06,0.412
SC_9076,1.996,2.668,1.292,2.628,0.75
SC_9080,2.332,2.138,1.994,2.26,0.55
SC_9081,2.02,2.02,2,2.022,2.036
SC_9082,2.016,2.016,1.992,2.014,1.886
SC_9083,4.718,2.884,1.928,2.016,1.092
SC_9084,3.01,4.094,1.95,4.106,-1
SC_9086,2.868,2.846,2.09,1.962,0.254
SC_9089,3.748,3.748,1.916,2.026,1.966
SC_9090,1.83,1.948,1.74,3.322,1.906
SC_9091,2.142,1.818,1.82,1.948,1.81
SC_9092,0.592,10.586,1.75,2.068,-0.964
SC_9093,2.304,3.424,1.968,2.24,1.086
SC_9094,1.414,4.708,1.458,4.278,0.868
SC_9096,1.976,2.778,2.866,2.72,0.376
SC_9097,4.064,4.064,1.804,2.344,-0.548
SC_9099,3.068,3.08,3.164,1.908,0.774
SC_9100,2.282,2.148,1.882,2.3,1.556
SC_9103,3.718,3.5,1.888,5,2.006
SC_9104,1.718,2.08,2.116,2.182,1.164
SC_9107,1.976,14,2.896,1.078,0.164
SC_9109,2.77,7.42,1.364,2.062,-0.196
